,이름,평점,작성일,내용
1192,지밥[zibob],5/5,2022년 9월 18일,화면으로 실제 원어민과 대화하는 형식이라 확실히 듣고 말하는데 도움이 많이되요! 짧은 문장을 여러사례로 반복적으로 하니까 금방 외워지고 이해도 쉽습니다 해보길 너무 잘했어요 영어 왕초보인분들이나 스피킹에 어려움이 있다면 분명 도움이 될거에요 굿굿
1193,유미연,5/5,2024년 2월 2일,내발음도 확인할수 있어서 너무 좋네요
1194,Bona Park,3/5,2022년 8월 7일,대체로 괜찮은 어플이긴 한데 특정 단어의 내 발음을 전~~혀 인식하지 못함.. 그 단어 나오면 진행이 안됨.. 스피킹 연습 빼고 빨리 감기가 없기 때문 !! 근데 그런 단어가 꼭 몇개씩 있고 내 귀에는 어디가 다른지 모르겠고.. 한숨 여러번 쉬게 만드는 어플
1195,안선영,5/5,2024년 3월 3일,듣고 말하기 연습용으로 너무 좋아요
1196,김영란,5/5,2022년 3월 5일,한달 결제해서 해보다가 너무 유용해서 1년결제해서 매일 15~20분씩 하고 있어요. 헷갈리던 표현이나 문법들이 계속 말해보면서 자연스럽게 익혀지고 설명도 군더더기없이 깔끔하고 심플해요. 설명은 심플하지만 단계별로 머릿속에 차곡차곡 쌓을 수 있게 스픽측에서 얼마나 연구 열심히 하고 준비했나 느껴지더라구요. 다 보니까 1일1강씩 16개월정도 양이던데 저는 부담스럽지 않게 하루1강 여유되서 2강씩 해서 1년결제기간동안 전강의 2번돌리는 걸 올해 목표로 삼았어요. 제 인생영어 어플 만난거 같네요. 감사합니다.
1197,Jin Seint,5/5,2024년 1월 24일,꾸준히 하면 영어실력이 늘어날 것 같아요
1198,최병찬,5/5,2023년 11월 29일,왕초보에게도 쉽고 재미있어요~직접 말하면서 공부힐수 있어서 너무 좋나요~
1199,김수진,5/5,2024년 1월 2일,너무 좋구여 막 레슨 도중에 모르는 단어도 쏙쏙 나오는데 그걸 틀리면 다시할수 있다는게 좋아요!
1200,Google 사용자,5/5,2019년 5월 2일,"말하기 하는데 정말 좋고요, 피드백 반영해주시는 속도도 매우빨라서 좋습니다. 더 좋은 어플이 될 것 같아요. 연간정액권 끊고 강의 듣고 있어요. 주변 지인들에게도 소개 해주고 있어요 :) 영어만 해도 큰 도움되는데 추후 다른 언어공부도 업데이트 되면 완전 더 대박이지 싶습니다. 좋은 앱 만들어 주셔서 감사합니다.🙏🙏🙏🙏"
1201,김세준,5/5,2024년 1월 20일,너무 재밌네요! 영어공부가 즐거워질 것 같아요
1202,김홍진,1/5,2023년 2월 15일,이앱 결재해놓고 몇일 안에 취소 안하면 절대로 환불 안해줍니다. 한번도 사용 안했어도 기간 지나면 절대 환불 안해줌 . 나는 결제해놓고 취소하는거 까먹어서 8개월인가 날려먹음. 환불해달라 해도 절대 안해줌. 바쁜일상에 깜빡하고 결제 취소하는걸 잊기라도 한다면 쌩돈 훌라당 날립니다 조심하세요. 결제 해놓고 그냥 별 생각없이 못쓰고 기간 지나더라도 상관없으면 결제하고 프리미엄 쓰는걸 추천.
1203,시즈탱크,5/5,2024년 1월 3일,혼자서 회화학원 안가고도 계속 말해볼수 있게끔 잘 노리고 만든 어플같아요. 정말 추천해요
1204,Jihyun Park,1/5,2024년 1월 4일,무료체험하기 눌렀는데 왜 마음대로 선결제를 해버리나요... 정말 실망... 환불도 복잡하네.
1205,김동윤,5/5,2024년 1월 18일,전 첫째날이고 초보자인데도 너무 재밌고 좋습니다.
1206,HM W,5/5,2024년 1월 30일,시작이지만 영어맛집기대합니다.
1207,이원석,5/5,2023년 12월 18일,무엇보다 발음까지 잡아주니깐 내 발음이 잘못됐구나 하는걸 알수있다는게 정말 좋은거 같습니다.
1208,SOONJU BAE,2/5,2022년 1월 13일,"갑자기 스픽 내 어떤 동영상도 나오질 않네요 이젠 기본 홈, 프로필 아무것도 뜨질 않고 계속 로딩중이에요 ㅜㅜ 캐시 삭제, 최신버전 업데이트, 기기 재부팅 다해봤는데도 안되요. 최근에 1년 이용권 구매했는데 벌써 문제 생겨서 넘 속상해요. 고쳐주세요 ㅜㅜ"
1209,이윤노,5/5,2023년 7월 28일,좋은 어플 감사합니다. 다만 업데이트 소식을 어플 내부에서도 볼 수 있으면 좋겠습니다. 수업 진행도가 떨어져서 확인해보니 최근 업데이트 된 상황별 응용 연습이 있는지 몰랐네요..
1210,StarCake ENT (StarCakeENT),5/5,2023년 9월 13일,"내가 저장한 문장 복습할때, 그냥 빈칸으로 두고 해석만 나오게 하는기능도 있으면 좋겠어요. 모든 문장 다 나오고 영어로 읽어주기까지 하는데, 아무런 의미가 없어보입니다. 내가 원하는대로 복습하고 테스트할 수 있게 좀 만들어주면 좋겠습니다."
1211,aegispsh,5/5,2023년 1월 20일,경험해본 영어앱 중 세 손가락 안에 들 정도로 잘 만든 앱입니다. UX도 직관적이고 게임처럼 계속 말하게 만들어줍니다. 특히 AI튜터를 이용하면 단순한 쉐도잉 외에 정말 대화하는 느낌이 듭니다. 한 번 시도해보시길 추천해요.
1212,강Carlson,5/5,2024년 1월 12일,쓴지 일주일되는데 지금까지 써본 영어 학습앱 중 가장 괜찮은 것 같아요!
1213,Kisnow,1/5,2021년 3월 14일,출석확인증 요청한지 한달이 지났지만 끝까지 못 받았습니다. 세차례 메일을 보냈고 자동응답메일이 온 것을 봐선 메일 송수신에 문제는 없었습니다. 유선번호까지 남겼는데 연락이 없습니다. 48시간 이내 응답이라더니 곧 48일이 됩니다. 스픽에서 약속을 지키지 않아 비용 정산을 못하고있는데 책임을 지실건지요.
1214,김경미,5/5,2023년 11월 23일,넘기대됩니다. 영어공부 후기보고 계속 하고싶단미음이있었는데 드뎌결제해서 오늘1일이네요^^
1215,전현우,5/5,2023년 3월 19일,"새로 개발된 AI튜터로 수시로 대화를 언제나할수있어서 좋네요.앞으로 더많은 개선이 될것으로 기대합니다. 지금은 대화가 종료되고 시스템이 멈추는일이 있지만, 기술적인문제니 금방 해결해주실것으로 믿고 별5개 드립니다"
1216,뮴뮴먀,3/5,2022년 12월 24일,"몇년전에 결제하고 쓰고있었는데요, 자동 결제가 된지는 몰랐는데 보니까 1년전에 자동결제가 되어있더라구요, 그 1년동안은 진짜 한번도 사용 안했었는데 환불 가능할까요?? 정말 좋은 앱인건 맞는데 메일 확인해보니 1년전에 10만원이 자동결제 되어있었어서 놀라서 보내봅니다..ㅠㅠ"
1217,Google 사용자,1/5,2020년 4월 13일,"무료인줄 알고 눌렀다가 3일뒤 자동결제된다는 말에 놀라서 바로 구글내 정보란에서 구독취소버튼을 눌렀는데... 이게 정확히 앞으로 결제가 안되는게 맞나요??!?? 구글앱 내정기결제항목에는 3일후 자동으로 취소가 된다고 하는데, 스픽(Speak)앱 상 처음 팝업? 안내창에서는 무료체험이 종료되기 24시간전에 취소해야 안전하게 결제가 안된다고 나와서..... 그럼 이게 결제가 되고 하루가 지나야 자동취소가 되는건가요??!??"
1218,Kyuseo Shim,5/5,2022년 11월 12일,"초등학생 1학년 딸아이와 함께 첫 번째 수업을 해봤어요. 표현을 연습하기 좋은 구성으로 이루어져 있어 아이도 함께 듣고 따라하고 힌트를 클릭해서 읽고 발음할 수 있어서 좋았어요. 특히 처음 보는 단어를 어떻게 읽어야 할지 모범발음과 내 목소리를 듣고 발음을 비교해 교정해주는 부분이 인상깊었어요. 왜 단어를 잘 읽을 수 없었는지, 인식을 못하는지 원인을 더 정확히 알 수 있어 발음 교정에 많은 도움이 될 것 같아요. 매일 매일 꾸준히 연습해서 원어민처럼 말하고 싶은데 이 앱을 통해 분명 지금보다 더 좋아질 것 같아요."
1219,diane Choi,5/5,2024년 2월 26일,일상생활 영어 대화가 도움이 많이 됩니다
1220,장정진,4/5,2024년 2월 25일,스핑킹에 도움이 될 것 같아요. 틀려도 자신있게.
1221,박정원,5/5,2023년 12월 24일,원하는시간과 장소에서 맞춤형으로 공부해서 매우 유용합니다.
1222,이창욱(21-11),4/5,2023년 12월 6일,집중하기 좋고 발음 연습에 도움이 많이 됩니다.
1223,Mihee Kim,5/5,2024년 2월 14일,음성 인식을 잘하네요!
1224,Jo YoungJae,5/5,2023년 5월 22일,마지막 레슨에서 천천히 보통 빨리 셋중 하나 선택 시 난이도 선택이 가능해서 좋습니다. 초중급자에게 적당한 난이도인 것 같아요. 어려운 컨텐츠들도 많아지면 좋겠습니다~
1225,W J,5/5,2024년 3월 24일,생각보다 많이 도움되고 꾸준히 하기 좋은 것 같아요
1226,차호,5/5,2024년 1월 14일,스픽은 데이터 소모량이 얼마나 될까요? 출퇴근길에 하고 싶은데 궁금하네요!
1227,HS C,5/5,2023년 12월 18일,생각보다 재미있네요 영어 발음 대화 연습하기에 좋은 거 같아요!
1228,Sangchul Park,4/5,2021년 1월 6일,왕초보2탄 하고 있는데 한문장하고 계속 자동으로 일시정지가 되서 플레이버튼을 계속 눌러줘야 진행이돼요. 그리고 오늘의 수업 끝나고 바로 이어서 스피킹연습갈때 연결이 안돼고 계속 멈춰있어서 다시 종료하고 들어가야해요 다른부분은 좋아요
1229,하루의프랑스자수,1/5,2021년 7월 1일,한달 듣고 구독취소했는데 계속 결제가 되네요 확인하고 환불해주세요 ‐---‐----- 그런 영수증은 어디서 찾아야하나요 운영자분이 사이트에서 보시면 결제확인 바로 가능하지 않나요 구독취소할수 있는 칸도 확실하게 알아볼수 없고.. 분명 취소했는데 두달이나 결제가 되고 한달만 환불 받았습니다 지금도 구독상태 프리미엄으로 되어있구요 확실하게 구독취소 확인하게 해주세요 전화 연락도 안되고 취소를 확실하게 어디서 할수 있는지 명확하게 했으면 하네요 저 말고도 자동결제 되고 있으신 분들이 많을거같네요
1230,youngae Gen,5/5,2023년 12월 22일,콘텐츠 구성이 좋아서 중독성이 있으므로 연속적으로 연습하게 된다.
1231,양민철,5/5,2023년 11월 1일,발음이 부끄러워서 회화 연습하기가 힘들었는데 ai와 하니 너무 편하고 좋아요
1232,임선희,4/5,2024년 1월 11일,초보라. 보고 읽고 반복 연습이. 계속 많이 필요하고 원어민 선생님 질문에. 대한 상황별 응대가 안돼는 상황. (많이 힘겨워요)
1233,윤예승,5/5,2023년 2월 9일,잔계도 생각해 주고 가입도 간편하게 할수있고 개인적으로 정말 좋은앱이예요 영알못이던 제가 영어를 저의반에서 가장잘할수 있을거 같은느낌?ㅋㅋ 꼭! 영어공부 할땐 이앱이용해 보세용! 가격도 무료고 가끔 프리미엄 가입하라고 나오는데 그건 넘기시면 됩니다~ 긴글 읽어주셔서 감사하고 즐거운 영어 공부하세요옹~!!
1234,Chae Yun Song,1/5,2023년 1월 11일,프리미엄결제했는데 ai 대화 가 전혀 안되고 계속 버퍼링이 너무심해서 넘어가지지가 않아요 녹음도 인식이 계속 안되고요 아직 결제한지 12분도 안지났는데 환불요청합니다 그리고 gpa로 시작하는 번호보내야 환불해준다고써있는데 직접 결제해보세요 그런번호로 시작하는게 있는지? 오더넘버쓰면 되는거 아닙니까? 환불도 되게 어렵게해놓으셨네요
1235,이해선,5/5,2024년 1월 7일,체험중인데..처음이라 흥미로운 방식에 빠져드네요^^ 구매하기 누르기 일보 직전.ㅎ
1236,차하민,5/5,2024년 1월 27일,가격대비 너무 좋습니다 ㅎㅎ 7일 무료체험으로 직접 판단할 수도 있습니다!
1237,Julie “Julie” Lee,1/5,2023년 3월 30일,이런 서비스는 없어져야합니다. 무료 체험기간 7일이고 체험기간 만료전에 구독해지하면 된다고 이벤트 안내되어 있었어요. 서비스가 엉망이라 3일전에 구독해지 한다고 메일 보냈더니 체험기간 마지막날 7일째에 메일로 구독취소는 다른곳에서 해야한다며 구독 취소 링크를 보내왔더군요. 즉시 구독해지 했는데도 하루지난 그 다음날 구독해지 됐다고 하면서 1년구독료를 갈취해가더군요. (카드청구) 카드사에 분쟁신고를 하고 스픽측에 계속 연락하는데 로봇 응대밖에 안된다고 하면서 처리가 안되네요. 최소한의 서비스도 안되는 이런곳은 없어져야합니다
1238,우리동네야옹이,5/5,2021년 8월 27일,"여러번 반복적으로 말하게 해서, 스피킹 초보에게 좋은 어플 같습니다. 다만, 중고급 컨텐츠는 아직 조금 부족해 보입니다. 개인적으로 시제 관련 및 조금 더 긴 문장으로 말할수 있는 컨텐츠가 업로드 되었으면 합니다."
1239,소소사사,5/5,2024년 2월 15일,바쁜 일상 부담되지 않는 시간 투자해 발음까지 신경쓰며 영어공부를 할 수 있습니다
1240,popori,5/5,2022년 1월 16일,잘 이용하고 있는데...가끔씩 등록예정인 수업이라면서 앱 진행이 안될 때가 있음. 앱 안정성을 조금 더 높여야 할 듯...수업자체는 하루 조금씩 하기 좋음. 꾸준히 하다보면 아마 나두 늘겠지??
1241,송지우,5/5,2024년 2월 1일,"연세대학교 의과대학 학생으로서, 발표 때 영어를 많이 써서 연습중입니다. 와 스픽 짱입니다. 물론 유료를 쓸지 말지는 고민중입니다만..!!"
1242,하이,4/5,2023년 10월 26일,단어 옆에 뜻도 무조건 같이 뜨면 좋겠어요 일일히 따로 찾아보기 너무 오래 걸립니다ㅠ
1243,빵슛돌,5/5,2022년 1월 5일,무료체험 7일 이용 후 정기적으로 할지 안할지 문자인가 톡인가 주신다 했는데 오지 않아서 당연히 취소 된 줄 알았는데 2회나 결제가 되었더군요. 저랑은 맞지 않아서 취소 하고 싶은데 2회에 걸쳐 결제 된 내역 환불 해 주세요. 고객센터도 없도 연락처도 없고 메일로만 가능 하다고 하니 답답 하네요. 빠른 처리 부탁 드립니다.
1244,재.미.남..재능이 미친 남편.,5/5,2024년 1월 12일,이거아주 대박이군... 1년결제 한달만원인데 이정도면 너무좋구요 근데 왜 홈 화면은 으냥 블랙화면일까유? 오류인지 원래그런건지 답변좀요
1245,Google 사용자,5/5,2019년 7월 5일,정말 도움 많이 됩니다ㅎㅎ 스픽 한달째 사용중인데 자신감에 생기고 발음도 훨씬 좋아진 느낌이에요! 그 동안 영어공부는 재미가 없었는데 이 어플은 재밌어서 계속 쓰게 되요 ㅋㅋ 자기 전이랑 일어나서 밥먹으면서 맨날 사용해요 ㅋㅋ 그리고 꾸준히 사용하면 불꽃?이 생겨서 더 의욕이 생겨요
